states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round_name,sample_year,report_year,test_type,test_threshold,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post
Pondichery,69.8,82.3,49.6,80.2,73.4,89.1,31,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,63.9,73.6,41.3,69.8,83.3,93.4,31,15,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,69.0,85.2,57.2,74.5,77.9,90.3,31,16,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,65.5,70.7,62.7,68.2,63.2,81.7,25,3,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,55.6,75.5,68.1,48.8,74.6,87.6,25,4,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,55.1,68.2,68.8,81.5,84.1,94.0,25,5,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,66.7,71.2,76.0,80.7,84.5,92.1,25,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,67.8,75.8,64.1,74.4,64.2,77.7,25,7,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,71.8,79.7,65.7,73.9,60.2,70.2,25,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,63.7,76.1,49.1,62.2,61.4,70.2,25,10,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,41.4,62.4,40.8,55.6,40.5,55.3,25,11,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,40.5,63.8,34.4,58.8,36.7,50.7,25,12,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Punjab,31.4,39.0,30.6,45.9,26.7,38.1,25,13,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,53.6,83.3,60.1,71.1,63.9,72.1,23,2,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,67.1,96.2,74.0,83.2,91.6,89.5,23,3,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,31.0,54.6,29.0,51.2,22.5,44.7,23,5,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,25.7,45.0,17.4,33.4,20.0,31.9,23,6,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,17.6,37.4,11.5,30.3,12.6,25.7,23,7,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Rajasthan,20.4,42.0,16.6,33.9,11.3,20.0,23,8,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,83.3,96.6,78.4,94.2,87.1,97.5,17,7,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,85.6,98.2,83.6,97.8,91.3,98.8,17,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,86.2,97.3,81.7,95.7,86.7,98.2,17,9,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,64.4,83.4,56.4,78.9,70.1,86.5,17,11,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,59.3,77.0,52.5,74.5,61.0,77.6,17,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,62.2,84.7,52.8,76.8,59.5,80.1,17,13,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,53.5,78.4,45.7,70.2,52.3,74.8,17,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,47.3,77.4,40.2,69.2,51.7,73.9,17,15,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,53.5,75.7,41.3,63.3,47.5,60.1,17,16,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Tamil Nadu,40.3,78.6,36.8,75.0,36.4,72.2,17,17,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,77.4,94.9,83.4,94.5,77.5,95.3,20,7,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,88.7,94.7,78.4,89.2,86.9,93.5,20,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,81.7,84.7,74.1,91.5,84.7,94.8,20,9,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,66.8,76.7,57.4,71.4,65.5,74.3,20,10,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,61.9,77.8,56.4,69.0,57.9,79.3,20,11,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,73.0,86.9,60.0,72.3,65.1,81.5,20,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,55.9,75.9,44.3,69.7,53.1,74.4,20,13,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,49.2,78.3,37.7,63.4,52.6,76.7,20,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,53.4,82.5,46.6,75.9,54.5,82.7,20,15,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Telangana,57.0,79.3,48.3,75.8,57.9,78.9,20,16,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttar Pradesh,20.5,34.4,15.7,28.3,20.0,34.8,24,6,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttar Pradesh,16.7,30.8,13.9,24.5,18.9,32.4,24,7,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttar Pradesh,20.9,38.1,16.2,28.8,24.1,41.9,24,8,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttar Pradesh,17.2,38.6,12.4,33.7,17.5,40.2,24,9,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttarakhand,16.0,18.6,9.2,9.8,12.0,13.4,24,1,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttarakhand,18.6,17.5,26.1,12.1,26.7,12.1,24,2,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttarakhand,14.9,18.7,8.7,10.1,11.8,12.4,24,3,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttarakhand,15.3,17.6,12.7,15.2,13.7,14.1,24,4,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Uttarakhand,13.2,22.1,7.9,15.5,10.9,16.5,24,5,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
West Bengal,26.8,35.8,17.3,22.0,19.5,27.2,27,1,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
West Bengal,19.2,40.5,13.1,25.4,11.2,23.1,27,2,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
West Bengal,22.9,42.5,11.3,22.9,15.5,29.0,27,3,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
